"","curl1","curl2","curl3","strait1","strait2","strait3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"1600023N17Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1600023N17Rik","69788"
"1600025M17Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1600025M17Rik","72030"
"1600027J07Rik",0.527064289403157,0,0,2.87451089647355,7.92543941978162,4.43139706075981,2.62640194440302,-4.0206450083152,1.72332837170383,-2.33306958460856,0.0196444934938176,0.0521168412390981,"1600027J07Rik","69794"
"1600029I14Rik",0.527064289403157,0,0,0,0,0,0.0878440482338595,0.648704840267485,4.07237813541102,0.15929386189036,0.873437356515855,NA,"1600029I14Rik","69797"
"1600029O15Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1600029O15Rik","665268"
"1700001C02Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700001C02Rik","75434"
"1700001C19Rik",1.05412857880631,1.22425146238121,0,0,0,0,0.379730006864587,1.96632501696914,3.81378018798563,0.515584255003358,0.606144809417348,NA,"1700001C19Rik","75462"
"1700001D01Rik",0.527064289403157,0,4.34717351272023,0,2.26441126279475,0,1.18977484415302,1.11289932744832,2.41113857381992,0.461565892368092,0.644392658529837,NA,"1700001D01Rik","69279"
"1700001F09Rik",0,0,0,3.83268119529807,1.13220563139737,6.64709559113972,1.93533040297253,-4.56685251189215,2.00551358157404,-2.27714863357236,0.0227773513242161,0.0588110102804335,"1700001F09Rik","71826"
"1700001G01Rik",0.527064289403157,3.67275438714363,8.69434702544046,4.79085149412259,14.7186732081659,8.86279412151962,6.87774742096589,-1.2017422952568,1.06743395854347,-1.12582355623818,0.260240211263699,0.375175807897075,"1700001G01Rik","75433"
"1700001G11Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700001G11Rik","69303"
"1700001G17Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700001G17Rik","67503"
"1700001J03Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700001J03Rik","69282"
"1700001J11Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700001J11Rik","72224"
"1700001K19Rik",0,0,0,1.91634059764904,0,2.21569853037991,0.688673188004824,-3.07989224662838,3.06421807766173,-1.00511522632182,0.314841369091742,NA,"1700001K19Rik","66323"
